[2026-07-02 11:07:40.362] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 1079.75ms
[2026-07-02 11:07:48.535] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 7965.74ms
[2026-07-02 11:07:50.892] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 2245.48ms
[2026-07-02 11:07:53.137] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 2143.94ms
[2026-07-02 11:07:54.011] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 787.11ms
[2026-07-02 11:07:54.811] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 720.58ms
[2026-07-02 11:07:55.566] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 656.21ms
[2026-07-02 11:07:56.344] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 688.46ms
[2026-07-02 11:07:57.195] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 755.08ms
[2026-07-02 11:07:57.961] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 684.53ms
[2026-07-02 11:07:58.816] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 772.01ms
[2026-07-02 11:09:52.749] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 194.08ms
[2026-07-02 11:09:52.969] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 214.14ms
[2026-07-02 11:09:53.220] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 198.44ms
[2026-07-02 11:09:53.486] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 210.52ms
[2026-07-02 11:09:53.767] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 227.14ms
[2026-07-02 11:09:54.034] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 212.20ms
[2026-07-02 11:09:54.281] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 191.99ms
[2026-07-02 11:09:54.527] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 190.46ms
[2026-07-02 11:09:54.761] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 179.98ms
[2026-07-02 11:09:55.002] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 185.93ms
[2026-07-02 11:09:55.293] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 237.66ms
[2026-07-02 11:09:55.560] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 211.48ms
[2026-07-02 11:09:55.827] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 212.61ms
[2026-07-02 11:09:56.078] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 196.17ms
[2026-07-02 11:09:56.319] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 185.82ms
[2026-07-02 11:09:56.737] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 360.83ms
[2026-07-02 11:09:57.017] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 225.39ms
[2026-07-02 11:09:57.286] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 214.29ms
